SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO
H,00 A 04,BOLIVIA,2019,11,BIOBÍO,1.0,,,,1,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,12,LA ARAUCANÍA,1.0,2.0,,2.0,3,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,14,LOS LAGOS,1.0,1.0,,1.0,2,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,1.0,,,,1,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2019,17,REGIÓN IGNORADA,,238.0,3.0,241.0,241,2019,BOL,1.83954504969027,2.21670563961031,3.682
H,00 A 04,BOLIVIA,2020,1,ARICA Y PARINACOTA,28.0,53.0,2.0,55.0,83,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,2,TARAPACÁ,97.0,212.0,28.0,240.0,337,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,3,ANTOFAGASTA,110.0,250.0,5.0,255.0,365,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,4,ATACAMA,12.0,52.0,,52.0,64,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,5,COQUIMBO,4.0,16.0,,16.0,20,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,6,VALPARAÍSO,7.0,30.0,2.0,32.0,39,2020,BOL,0.940742153381827,-8.7378843576993,7.903
H,00 A 04,BOLIVIA,2020,7,METROPOLITANA DE SANTIAGO,61.0,143.0,13.0,156.0,217,2020,BOL,0.940742153381827,-8.7378843576993,7.903
