SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,BOLIVIA,2,BO,2020,2,TARAPACÁ,97.0,212.0,28.0,240.0,337
1,00 A 04,2,BOLIVIA,2,BO,2020,3,ANTOFAGASTA,110.0,250.0,5.0,255.0,365
1,00 A 04,2,BOLIVIA,2,BO,2020,4,ATACAMA,12.0,52.0,0.0,52.0,64
1,00 A 04,2,BOLIVIA,2,BO,2020,5,COQUIMBO,4.0,16.0,0.0,16.0,20
1,00 A 04,2,BOLIVIA,2,BO,2020,6,VALPARAÍSO,7.0,30.0,2.0,32.0,39
1,00 A 04,2,BOLIVIA,2,BO,2020,7,METROPOLITANA DE SANTIAGO,61.0,143.0,13.0,156.0,217
1,00 A 04,2,BOLIVIA,2,BO,2020,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,2.0,15.0,2.0,17.0,19
1,00 A 04,2,BOLIVIA,2,BO,2020,9,MAULE,3.0,8.0,0.0,8.0,11
1,00 A 04,2,BOLIVIA,2,BO,2020,10,ÑUBLE,1.0,3.0,0.0,3.0,4
1,00 A 04,2,BOLIVIA,2,BO,2020,12,LA ARAUCANÍA,1.0,2.0,0.0,2.0,3
1,00 A 04,2,BOLIVIA,2,BO,2020,14,LOS LAGOS,0.0,1.0,0.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2020,17,REGIÓN IGNORADA,0.0,211.0,4.0,215.0,215
1,00 A 04,2,BOLIVIA,2,BO,2021,1,ARICA Y PARINACOTA,9.0,50.0,4.0,54.0,63
1,00 A 04,2,BOLIVIA,2,BO,2021,2,TARAPACÁ,42.0,157.0,36.0,193.0,235
1,00 A 04,2,BOLIVIA,2,BO,2021,3,ANTOFAGASTA,39.0,210.0,9.0,219.0,258
1,00 A 04,2,BOLIVIA,2,BO,2021,4,ATACAMA,2.0,44.0,1.0,45.0,47
1,00 A 04,2,BOLIVIA,2,BO,2021,5,COQUIMBO,1.0,12.0,4.0,16.0,17
1,00 A 04,2,BOLIVIA,2,BO,2021,6,VALPARAÍSO,2.0,20.0,1.0,21.0,23
1,00 A 04,2,BOLIVIA,2,BO,2021,7,METROPOLITANA DE SANTIAGO,23.0,103.0,11.0,114.0,137
1,00 A 04,2,BOLIVIA,2,BO,2021,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,13.0,3.0,16.0,16
1,00 A 04,2,BOLIVIA,2,BO,2021,9,MAULE,1.0,6.0,0.0,6.0,7
1,00 A 04,2,BOLIVIA,2,BO,2021,11,BIOBÍO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2021,12,LA ARAUCANÍA,0.0,2.0,0.0,2.0,2
1,00 A 04,2,BOLIVIA,2,BO,2021,14,LOS LAGOS,0.0,0.0,2.0,2.0,2
1,00 A 04,2,BOLIVIA,2,BO,2021,17,REGIÓN IGNORADA,0.0,137.0,11.0,148.0,148
1,00 A 04,2,BOLIVIA,2,BO,2022,1,ARICA Y PARINACOTA,0.0,23.0,18.0,41.0,41
1,00 A 04,2,BOLIVIA,2,BO,2022,2,TARAPACÁ,0.0,104.0,85.0,189.0,189
1,00 A 04,2,BOLIVIA,2,BO,2022,3,ANTOFAGASTA,0.0,142.0,21.0,163.0,163
1,00 A 04,2,BOLIVIA,2,BO,2022,4,ATACAMA,0.0,40.0,2.0,42.0,42
1,00 A 04,2,BOLIVIA,2,BO,2022,5,COQUIMBO,0.0,6.0,6.0,12.0,12
1,00 A 04,2,BOLIVIA,2,BO,2022,6,VALPARAÍSO,0.0,20.0,9.0,29.0,29
1,00 A 04,2,BOLIVIA,2,BO,2022,7,METROPOLITANA DE SANTIAGO,0.0,84.0,31.0,115.0,115
1,00 A 04,2,BOLIVIA,2,BO,2022,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,13.0,4.0,17.0,17
1,00 A 04,2,BOLIVIA,2,BO,2022,9,MAULE,0.0,2.0,0.0,2.0,2
1,00 A 04,2,BOLIVIA,2,BO,2022,10,ÑUBLE,0.0,0.0,1.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2022,11,BIOBÍO,0.0,0.0,1.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2022,13,LOS RÍOS,0.0,3.0,0.0,3.0,3
1,00 A 04,2,BOLIVIA,2,BO,2022,14,LOS LAGOS,0.0,2.0,3.0,5.0,5
1,00 A 04,2,BOLIVIA,2,BO,2022,17,REGIÓN IGNORADA,0.0,141.0,17.0,158.0,158
1,00 A 04,2,BOLIVIA,2,BO,2023,1,ARICA Y PARINACOTA,0.0,46.0,4.0,50.0,50
1,00 A 04,2,BOLIVIA,2,BO,2023,2,TARAPACÁ,0.0,226.0,9.0,235.0,235
1,00 A 04,2,BOLIVIA,2,BO,2023,3,ANTOFAGASTA,0.0,224.0,8.0,232.0,232
1,00 A 04,2,BOLIVIA,2,BO,2023,4,ATACAMA,0.0,45.0,2.0,47.0,47
1,00 A 04,2,BOLIVIA,2,BO,2023,5,COQUIMBO,0.0,15.0,5.0,20.0,20
1,00 A 04,2,BOLIVIA,2,BO,2023,6,VALPARAÍSO,0.0,36.0,2.0,38.0,38
1,00 A 04,2,BOLIVIA,2,BO,2023,7,METROPOLITANA DE SANTIAGO,0.0,118.0,9.0,127.0,127
1,00 A 04,2,BOLIVIA,2,BO,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,0.0,52.0,1.0,53.0,53
1,00 A 04,2,BOLIVIA,2,BO,2023,9,MAULE,0.0,10.0,0.0,10.0,10
1,00 A 04,2,BOLIVIA,2,BO,2023,10,ÑUBLE,0.0,1.0,0.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2023,11,BIOBÍO,0.0,1.0,0.0,1.0,1
1,00 A 04,2,BOLIVIA,2,BO,2023,13,LOS RÍOS,0.0,3.0,0.0,3.0,3
1,00 A 04,2,BOLIVIA,2,BO,2023,14,LOS LAGOS,0.0,1.0,1.0,2.0,2
1,00 A 04,2,BOLIVIA,2,BO,2023,17,REGIÓN IGNORADA,0.0,74.0,15.0,89.0,89
1,00 A 04,2,BRASIL,3,BR,2018,1,ARICA Y PARINACOTA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BRASIL,3,BR,2018,2,TARAPACÁ,7.0,4.0,1.0,5.0,12
1,00 A 04,2,BRASIL,3,BR,2018,3,ANTOFAGASTA,2.0,0.0,0.0,0.0,2
1,00 A 04,2,BRASIL,3,BR,2018,4,ATACAMA,1.0,0.0,0.0,0.0,1
1,00 A 04,2,BRASIL,3,BR,2018,5,COQUIMBO,3.0,2.0,1.0,3.0,6
